
Textbox3,Textbox1,TOWARY_I_USŁUGI_KONSUMPCYJNE,KOD_WOJ,ROK_KW_NARAST1,WARTOSC_OST_blok6
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,POLSKA,2019 I-III,"101,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,POLSKA,2019 I-VI,"101,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,POLSKA,2019 I-IX,"101,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,POLSKA,2019 I-XII,"101,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,POLSKA,2020 I-III,"103,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,POLSKA,2020 I-VI,"104,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,DOLNOŚLĄSKIE,2019 I-III,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,DOLNOŚLĄSKIE,2019 I-VI,"101,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,DOLNOŚLĄSKIE,2019 I-IX,"101,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,DOLNOŚLĄSKIE,2019 I-XII,"101,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,DOLNOŚLĄSKIE,2020 I-III,"103,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,DOLNOŚLĄSKIE,2020 I-VI,"103,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,KUJAWSKO-POMORSKIE,2019 I-III,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,KUJAWSKO-POMORSKIE,2019 I-VI,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,KUJAWSKO-POMORSKIE,2019 I-IX,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,KUJAWSKO-POMORSKIE,2019 I-XII,"101,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,KUJAWSKO-POMORSKIE,2020 I-III,"104,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,KUJAWSKO-POMORSKIE,2020 I-VI,"104,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,LUBELSKIE,2019 I-III,"101,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,LUBELSKIE,2019 I-VI,"101,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,LUBELSKIE,2019 I-IX,"101,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,LUBELSKIE,2019 I-XII,"101,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,LUBELSKIE,2020 I-III,"103,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,LUBELSKIE,2020 I-VI,"103,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,LUBUSKIE,2019 I-III,"100,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,LUBUSKIE,2019 I-VI,"100,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,LUBUSKIE,2019 I-IX,"101,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,LUBUSKIE,2019 I-XII,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,LUBUSKIE,2020 I-III,"104,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,LUBUSKIE,2020 I-VI,"104,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŁÓDZKIE,2019 I-III,"101,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŁÓDZKIE,2019 I-VI,"101,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŁÓDZKIE,2019 I-IX,"101,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŁÓDZKIE,2019 I-XII,"101,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŁÓDZKIE,2020 I-III,"104,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŁÓDZKIE,2020 I-VI,"104,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,MAŁOPOLSKIE,2019 I-III,"102,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,MAŁOPOLSKIE,2019 I-VI,"102,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,MAŁOPOLSKIE,2019 I-IX,"102,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,MAŁOPOLSKIE,2019 I-XII,"102,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,MAŁOPOLSKIE,2020 I-III,"103,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,MAŁOPOLSKIE,2020 I-VI,"103,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,MAZOWIECKIE,2019 I-III,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,MAZOWIECKIE,2019 I-VI,"100,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,MAZOWIECKIE,2019 I-IX,"100,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,MAZOWIECKIE,2019 I-XII,"101,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,MAZOWIECKIE,2020 I-III,"103,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,MAZOWIECKIE,2020 I-VI,"104,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,OPOLSKIE,2019 I-III,"101,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,OPOLSKIE,2019 I-VI,"101,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,OPOLSKIE,2019 I-IX,"100,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,OPOLSKIE,2019 I-XII,"101,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,OPOLSKIE,2020 I-III,"104,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,OPOLSKIE,2020 I-VI,"104,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,PODKARPACKIE,2019 I-III,"102,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,PODKARPACKIE,2019 I-VI,"102,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,PODKARPACKIE,2019 I-IX,"102,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,PODKARPACKIE,2019 I-XII,"101,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,PODKARPACKIE,2020 I-III,"103,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,PODKARPACKIE,2020 I-VI,"103,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,PODLASKIE,2019 I-III,"103,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,PODLASKIE,2019 I-VI,"102,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,PODLASKIE,2019 I-IX,"102,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,PODLASKIE,2019 I-XII,"102,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,PODLASKIE,2020 I-III,"104,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,PODLASKIE,2020 I-VI,"104,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,POMORSKIE,2019 I-III,"101,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,POMORSKIE,2019 I-VI,"100,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,POMORSKIE,2019 I-IX,"100,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,POMORSKIE,2019 I-XII,"100,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,POMORSKIE,2020 I-III,"103,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,POMORSKIE,2020 I-VI,"104,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŚLĄSKIE,2019 I-III,"101,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŚLĄSKIE,2019 I-VI,"101,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŚLĄSKIE,2019 I-IX,"101,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŚLĄSKIE,2019 I-XII,"101,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŚLĄSKIE,2020 I-III,"103,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŚLĄSKIE,2020 I-VI,"103,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŚWIĘTOKRZYSKIE,2019 I-III,"101,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŚWIĘTOKRZYSKIE,2019 I-VI,"101,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŚWIĘTOKRZYSKIE,2019 I-IX,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŚWIĘTOKRZYSKIE,2019 I-XII,"101,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŚWIĘTOKRZYSKIE,2020 I-III,"105,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ŚWIĘTOKRZYSKIE,2020 I-VI,"106,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,WARMIŃSKO-MAZURSKIE,2019 I-III,"100,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,WARMIŃSKO-MAZURSKIE,2019 I-VI,"101,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,WARMIŃSKO-MAZURSKIE,2019 I-IX,"101,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,WARMIŃSKO-MAZURSKIE,2019 I-XII,"101,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,WARMIŃSKO-MAZURSKIE,2020 I-III,"104,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,WARMIŃSKO-MAZURSKIE,2020 I-VI,"104,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,WIELKOPOLSKIE,2019 I-III,"101,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,WIELKOPOLSKIE,2019 I-VI,"101,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,WIELKOPOLSKIE,2019 I-IX,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,WIELKOPOLSKIE,2019 I-XII,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,WIELKOPOLSKIE,2020 I-III,"103,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,WIELKOPOLSKIE,2020 I-VI,"104,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ZACHODNIOPOMORSKIE,2019 I-III,"100,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ZACHODNIOPOMORSKIE,2019 I-VI,"100,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ZACHODNIOPOMORSKIE,2019 I-IX,"100,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ZACHODNIOPOMORSKIE,2019 I-XII,"100,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ZACHODNIOPOMORSKIE,2020 I-III,"103,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Napoje alkoholowe i wyroby tytoniowe,ZACHODNIOPOMORSKIE,2020 I-VI,"104,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,POLSKA,2019 I-III,"97,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,POLSKA,2019 I-VI,"97,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,POLSKA,2019 I-IX,"97,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,POLSKA,2019 I-XII,"98,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,POLSKA,2020 I-III,"98,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,POLSKA,2020 I-VI,"97,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,DOLNOŚLĄSKIE,2019 I-III,"93,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,DOLNOŚLĄSKIE,2019 I-VI,"94,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,DOLNOŚLĄSKIE,2019 I-IX,"94,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,DOLNOŚLĄSKIE,2019 I-XII,"94,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,DOLNOŚLĄSKIE,2020 I-III,"96,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,DOLNOŚLĄSKIE,2020 I-VI,"95,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,KUJAWSKO-POMORSKIE,2019 I-III,"96,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,KUJAWSKO-POMORSKIE,2019 I-VI,"97,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,KUJAWSKO-POMORSKIE,2019 I-IX,"97,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,KUJAWSKO-POMORSKIE,2019 I-XII,"98,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,KUJAWSKO-POMORSKIE,2020 I-III,"100,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,KUJAWSKO-POMORSKIE,2020 I-VI,"98,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,LUBELSKIE,2019 I-III,"98,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,LUBELSKIE,2019 I-VI,"98,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,LUBELSKIE,2019 I-IX,"99,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,LUBELSKIE,2019 I-XII,"99,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,LUBELSKIE,2020 I-III,"99,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,LUBELSKIE,2020 I-VI,"98,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,LUBUSKIE,2019 I-III,"97,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,LUBUSKIE,2019 I-VI,"97,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,LUBUSKIE,2019 I-IX,"97,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,LUBUSKIE,2019 I-XII,"96,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,LUBUSKIE,2020 I-III,"97,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,LUBUSKIE,2020 I-VI,"96,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŁÓDZKIE,2019 I-III,"96,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŁÓDZKIE,2019 I-VI,"97,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŁÓDZKIE,2019 I-IX,"97,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŁÓDZKIE,2019 I-XII,"97,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŁÓDZKIE,2020 I-III,"98,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŁÓDZKIE,2020 I-VI,"98,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,MAŁOPOLSKIE,2019 I-III,"99,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,MAŁOPOLSKIE,2019 I-VI,"99,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,MAŁOPOLSKIE,2019 I-IX,"100,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,MAŁOPOLSKIE,2019 I-XII,"100,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,MAŁOPOLSKIE,2020 I-III,"99,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,MAŁOPOLSKIE,2020 I-VI,"98,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,MAZOWIECKIE,2019 I-III,"97,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,MAZOWIECKIE,2019 I-VI,"98,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,MAZOWIECKIE,2019 I-IX,"98,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,MAZOWIECKIE,2019 I-XII,"98,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,MAZOWIECKIE,2020 I-III,"97,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,MAZOWIECKIE,2020 I-VI,"97,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,OPOLSKIE,2019 I-III,"95,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,OPOLSKIE,2019 I-VI,"95,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,OPOLSKIE,2019 I-IX,"95,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,OPOLSKIE,2019 I-XII,"96,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,OPOLSKIE,2020 I-III,"97,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,OPOLSKIE,2020 I-VI,"96,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,PODKARPACKIE,2019 I-III,"97,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,PODKARPACKIE,2019 I-VI,"97,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,PODKARPACKIE,2019 I-IX,"98,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,PODKARPACKIE,2019 I-XII,"98,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,PODKARPACKIE,2020 I-III,"100,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,PODKARPACKIE,2020 I-VI,"99,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,PODLASKIE,2019 I-III,"97,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,PODLASKIE,2019 I-VI,"97,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,PODLASKIE,2019 I-IX,"97,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,PODLASKIE,2019 I-XII,"97,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,PODLASKIE,2020 I-III,"98,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,PODLASKIE,2020 I-VI,"96,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,POMORSKIE,2019 I-III,"97,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,POMORSKIE,2019 I-VI,"96,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,POMORSKIE,2019 I-IX,"97,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,POMORSKIE,2019 I-XII,"97,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,POMORSKIE,2020 I-III,"97,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,POMORSKIE,2020 I-VI,"96,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŚLĄSKIE,2019 I-III,"98,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŚLĄSKIE,2019 I-VI,"99,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŚLĄSKIE,2019 I-IX,"99,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŚLĄSKIE,2019 I-XII,"99,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŚLĄSKIE,2020 I-III,"98,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŚLĄSKIE,2020 I-VI,"97,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŚWIĘTOKRZYSKIE,2019 I-III,"96,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŚWIĘTOKRZYSKIE,2019 I-VI,"96,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŚWIĘTOKRZYSKIE,2019 I-IX,"96,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŚWIĘTOKRZYSKIE,2019 I-XII,"97,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŚWIĘTOKRZYSKIE,2020 I-III,"97,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ŚWIĘTOKRZYSKIE,2020 I-VI,"97,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,WARMIŃSKO-MAZURSKIE,2019 I-III,"98,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,WARMIŃSKO-MAZURSKIE,2019 I-VI,"99,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,WARMIŃSKO-MAZURSKIE,2019 I-IX,"99,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,WARMIŃSKO-MAZURSKIE,2019 I-XII,"99,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,WARMIŃSKO-MAZURSKIE,2020 I-III,"98,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,WARMIŃSKO-MAZURSKIE,2020 I-VI,"97,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,WIELKOPOLSKIE,2019 I-III,"98,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,WIELKOPOLSKIE,2019 I-VI,"99,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,WIELKOPOLSKIE,2019 I-IX,"99,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,WIELKOPOLSKIE,2019 I-XII,"99,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,WIELKOPOLSKIE,2020 I-III,"99,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,WIELKOPOLSKIE,2020 I-VI,"98,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ZACHODNIOPOMORSKIE,2019 I-III,"94,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ZACHODNIOPOMORSKIE,2019 I-VI,"95,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ZACHODNIOPOMORSKIE,2019 I-IX,"95,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Odzież i obuwie,ZACHODNIOPOMORSKIE,2019 I-XII,"96,3"
